episode,reward,steps,success,collision,loss,epsilon
1,-109.6,36,0.0,1.0,0.0,0.9995
2,-119.39999999999998,94,0.0,1.0,0.0,0.9990002500000001
3,-19.999999999999993,200,0.0,0.0,0.0,0.9985007498750001
4,-20.00000000000002,200,0.0,0.0,0.0,0.9980014995000627
5,-103.5,25,0.0,1.0,0.0,0.9975024987503127
6,-108.19999999999999,62,0.0,1.0,0.0,0.9970037475009376
7,-104.89999999999999,19,0.0,1.0,0.0,0.9965052456271871
8,-11.999999999999977,200,0.0,0.0,0.0,0.9960069930043736
9,-6.000000000000002,200,0.0,0.0,28.192009695075654,0.9955089895078715
10,-110.5,35,0.0,1.0,51.54643978817122,0.9950112350131176
11,-111.39999999999998,134,0.0,1.0,58.842102853080895,0.9945137293956111
12,-109.89999999999999,49,0.0,1.0,65.58264305016824,0.9940164725309134
13,-32.00000000000009,200,0.0,0.0,71.48510039841756,0.993519464294648
14,-100.7,57,0.0,1.0,52.948943893245435,0.9930227045625007
15,-116.09999999999998,51,0.0,1.0,49.49222277930262,0.9925261932102195
16,-13.999999999999995,200,0.0,0.0,69.33685699494555,0.9920299301136144
17,-116.49999999999997,135,0.0,1.0,66.71353678637081,0.9915339151485576
18,-3.999999999999998,200,0.0,0.0,53.266965925097466,0.9910381481909833
19,-111.79999999999998,58,0.0,1.0,63.40936955796747,0.990542629116888
20,-20.000000000000014,200,0.0,0.0,52.263084723101926,0.9900473578023296
21,-105.10000000000002,181,0.0,1.0,46.928748763984494,0.9895523341234285
22,-9.999999999999993,200,0.0,0.0,68.68616104025394,0.9890575579563669
23,-103.1,21,0.0,1.0,53.72859889996194,0.9885630291773887
24,-109.1,81,0.0,1.0,64.28557823533997,0.9880687476628001
25,-118.29999999999998,73,0.0,1.0,63.40044297538187,0.9875747132889687
26,-7.99999999999995,200,0.0,0.0,72.16330615144223,0.9870809259323243
27,-110.0,20,0.0,1.0,47.658453735895456,0.9865873854693582
28,-109.3,83,0.0,1.0,78.60770044359099,0.9860940917766235
29,-123.19999999999999,92,0.0,1.0,63.67109217830812,0.9856010447307353
30,-111.29999999999997,183,0.0,1.0,66.78639807789256,0.98510824420837
31,-107.6,96,0.0,1.0,63.08802882931195,0.9846156900862658
32,-15.99999999999997,200,0.0,0.0,68.71745374558493,0.9841233822412228
33,6.000000000000012,200,0.0,0.0,78.3380983189959,0.9836313205501022
